id,prediction
34647,1
34648,0
34649,0
34650,2
34651,1
34652,0
34653,3
34654,0
34655,1
34656,0
34657,2
34658,1
34659,3
34660,0
34661,0
34662,0
34663,1
34664,0
34665,0
34666,0
34667,1
34668,4
34669,0
34670,4
34671,0
34672,0
34673,1
34674,0
34675,1
34676,2
34677,1
34678,3
34679,3
34680,0
34681,1
34682,3
34683,2
34684,0
34685,3
34686,3
34687,0
34688,4
34689,0
34690,3
34691,1
34692,0
34693,0
34694,0
34695,0
34696,0
34697,0
34698,1
34699,3
34700,2
34701,3
34702,1
34703,1
34704,1
34705,0
34706,0
34707,2
34708,3
34709,4
34710,3
34711,1
34712,3
34713,1
34714,1
34715,0
34716,2
34717,4
34718,2
34719,3
34720,3
34721,0
34722,4
34723,3
34724,0
34725,0
34726,0
34727,1
34728,3
34729,0
34730,0
34731,3
34732,3
34733,0
34734,3
34735,1
34736,2
34737,1
34738,3
34739,0
34740,0
34741,1
34742,0
34743,0
34744,0
34745,2
34746,0
34747,0
34748,3
34749,1
34750,3
34751,0
34752,0
34753,3
34754,3
34755,0
34756,2
34757,2
34758,0
34759,0
34760,0
34761,3
34762,5
34763,2
34764,3
34765,0
34766,3
34767,0
34768,3
34769,3
34770,0
34771,4
34772,0
34773,0
34774,2
34775,2
34776,1
34777,3
34778,0
34779,1
34780,2
34781,1
34782,1
34783,1
34784,0
34785,4
34786,2
34787,1
34788,3
34789,0
34790,1
34791,1
34792,3
34793,3
34794,3
34795,0
34796,3
34797,2
34798,3
34799,3
34800,4
34801,0
34802,0
34803,3
34804,3
34805,0
34806,0
34807,0
34808,0
34809,0
34810,0
34811,2
34812,4
34813,3
34814,0
34815,1
34816,1
34817,1
34818,0
34819,0
34820,0
34821,1
34822,0
34823,2
34824,3
34825,2
34826,0
34827,2
34828,1
34829,0
34830,1
34831,0
34832,0
34833,1
34834,3
34835,3
34836,1
34837,0
34838,0
34839,3
34840,1
34841,2
34842,0
34843,0
34844,3
34845,2
34846,0
34847,0
34848,2
34849,0
34850,1
34851,1
34852,3
34853,0
34854,1
34855,3
34856,0
34857,3
34858,0
34859,3
34860,2
34861,0
34862,0
34863,0
34864,1
34865,4
34866,1
34867,0
34868,2
34869,0
34870,0
34871,0
34872,3
34873,3
34874,0
34875,1
34876,2
34877,0
34878,4
34879,0
34880,3
34881,0
34882,4
34883,3
34884,0
34885,1
34886,1
34887,3
34888,0
34889,0
34890,3
34891,1
34892,4
34893,3
34894,1
34895,0
34896,0
34897,0
34898,0
34899,0
34900,2
34901,0
34902,0
34903,0
34904,4
34905,0
34906,4
34907,0
34908,2
34909,0
34910,0
34911,1
34912,0
34913,4
34914,0
34915,0
34916,3
34917,4
34918,3
34919,2
34920,4
34921,1
34922,2
34923,0
34924,0
34925,1
34926,0
34927,0
34928,1
34929,0
34930,1
34931,3
34932,1
34933,0
34934,0
34935,0
34936,3
34937,0
34938,2
34939,3
34940,3
34941,1
34942,1
34943,1
34944,1
34945,0
34946,0
34947,0
34948,0
34949,0
34950,3
34951,0
34952,1
34953,3
34954,1
34955,0
34956,3
34957,0
34958,0
34959,0
34960,0
34961,0
34962,0
34963,1
34964,0
34965,3
34966,1
34967,3
34968,0
34969,5
34970,4
34971,0
34972,2
34973,0
34974,0
34975,1
34976,3
34977,1
34978,2
34979,0
34980,0
34981,0
34982,3
34983,0
34984,0
34985,0
34986,0
34987,0
34988,2
34989,1
34990,0
34991,1
34992,5
34993,1
34994,3
34995,1
34996,0
34997,2
34998,3
34999,3
35000,3
35001,2
35002,3
35003,0
35004,0
35005,0
35006,3
35007,3
35008,0
35009,1
35010,1
35011,0
35012,0
35013,3
35014,0
35015,0
35016,3
35017,0
35018,3
35019,1
35020,1
35021,3
35022,2
35023,0
35024,0
35025,2
35026,0
35027,0
35028,0
35029,0
35030,1
35031,2
35032,0
35033,0
35034,1
35035,1
35036,3
35037,0
35038,3
35039,2
35040,0
35041,0
35042,0
35043,2
35044,3
35045,1
35046,1
35047,0
35048,2
35049,0
35050,2
35051,1
35052,3
35053,2
35054,0
35055,0
35056,0
35057,3
35058,0
35059,1
35060,0
35061,0
35062,0
35063,1
35064,0
35065,3
35066,0
35067,3
35068,2
35069,1
35070,0
35071,0
35072,2
35073,0
35074,1
35075,3
35076,3
35077,1
35078,3
35079,0
35080,2
35081,0
35082,3
35083,3
35084,0
35085,3
35086,3
35087,1
35088,1
35089,2
35090,2
35091,1
35092,3
35093,4
35094,0
35095,3
35096,0
35097,0
35098,0
35099,4
35100,0
35101,1
35102,0
35103,1
35104,4
35105,0
35106,1
35107,0
35108,1
35109,0
35110,1
35111,0
35112,1
35113,1
35114,0
35115,1
35116,3
35117,0
35118,3
35119,3
35120,0
35121,0
35122,1
35123,0
35124,2
35125,3
35126,3
35127,0
35128,0
35129,2
35130,2
35131,1
35132,0
35133,1
35134,2
35135,3
35136,0
35137,3
35138,3
35139,0
35140,3
35141,1
35142,3
35143,3
35144,3
35145,1
35146,1
35147,4
35148,0
35149,0
35150,0
35151,0
35152,3
35153,3
35154,0
35155,3
35156,1
35157,0
35158,3
35159,1
35160,3
35161,1
35162,0
35163,0
35164,0
35165,1
35166,3
35167,2
35168,1
35169,1
35170,0
35171,3
35172,4
35173,1
35174,3
35175,0
35176,1
35177,1
35178,2
35179,3
35180,0
35181,0
35182,0
35183,1
35184,0
35185,4
35186,2
35187,2
35188,2
35189,0
35190,3
35191,0
35192,4
35193,2
35194,1
35195,1
35196,0
35197,3
35198,1
35199,3
35200,3
35201,0
35202,3
35203,1
35204,3
35205,3
35206,0
35207,4
35208,3
35209,4
35210,0
35211,3
35212,1
35213,0
35214,2
35215,0
35216,0
35217,2
35218,1
35219,3
35220,0
35221,2
35222,3
35223,1
35224,1
35225,0
35226,0
35227,2
35228,0
35229,0
35230,0
35231,1
35232,3
35233,0
35234,1
35235,2
35236,1
35237,2
35238,2
35239,3
35240,1
35241,3
35242,0
35243,2
35244,0
35245,0
35246,0
35247,0
35248,0
35249,2
35250,1
35251,0
35252,1
35253,0
35254,0
35255,0
35256,0
35257,1
35258,3
35259,3
35260,0
35261,0
35262,0
35263,1
35264,0
35265,3
35266,2
35267,0
35268,0
35269,4
35270,3
35271,0
35272,1
35273,0
35274,3
35275,0
35276,0
35277,3
35278,0
35279,0
35280,3
35281,0
35282,1
35283,0
35284,3
35285,2
35286,0
35287,0
35288,1
35289,4
35290,0
35291,0
35292,0
35293,0
35294,3
35295,0
35296,0
35297,1
35298,0
35299,0
35300,0
35301,2
35302,3
35303,3
35304,2
35305,1
35306,0
35307,1
35308,0
35309,1
35310,1
35311,3
35312,1
35313,1
35314,3
35315,3
35316,0
35317,0
35318,1
35319,1
35320,0
35321,2
35322,0
35323,1
35324,1
35325,3
35326,0
35327,3
35328,0
35329,0
35330,0
35331,1
35332,3
35333,3
35334,0
35335,1
35336,0
35337,3
35338,0
35339,3
35340,0
35341,1
35342,1
35343,0
35344,0
35345,0
35346,2
35347,0
35348,0
35349,2
35350,3
35351,2
35352,3
35353,2
35354,0
35355,3
35356,3
35357,2
35358,3
35359,3
35360,0
35361,3
35362,0
35363,0
35364,3
35365,1
35366,3
35367,1
35368,0
35369,1
35370,0
35371,0
35372,0
35373,1
35374,0
35375,0
35376,0
35377,4
35378,3
35379,0
35380,3
35381,1
35382,2
35383,4
35384,0
35385,3
35386,1
35387,2
35388,2
35389,0
35390,1
35391,4
35392,0
35393,1
35394,3
35395,0
35396,0
35397,0
35398,1
35399,0
35400,2
35401,0
35402,0
35403,2
35404,2
35405,2
35406,1
35407,0
35408,0
35409,0
35410,2
35411,2
35412,0
35413,0
35414,0
35415,0
35416,2
35417,3
35418,0
35419,0
35420,0
35421,0
35422,3
35423,3
35424,3
35425,0
35426,1
35427,1
35428,3
35429,0
35430,3
35431,0
35432,2
35433,0
35434,2
35435,1
35436,1
35437,0
35438,0
35439,1
35440,0
35441,3
35442,0
35443,0
35444,0
35445,1
35446,1
35447,1
35448,0
35449,0
35450,1
35451,3
35452,4
35453,0
35454,0
35455,0
35456,1
35457,1
35458,3
35459,0
35460,0
35461,1
35462,1
35463,1
35464,1
35465,1
35466,2
35467,3
35468,0
35469,0
35470,3
35471,0
35472,0
35473,0
35474,3
35475,0
35476,0
35477,1
35478,4
35479,3
35480,1
35481,1
35482,3
35483,3
35484,3
35485,1
35486,3
35487,0
35488,1
35489,1
35490,0
35491,1
35492,3
35493,2
35494,3
35495,1
35496,0
35497,2
35498,1
35499,3
35500,3
35501,2
35502,3
35503,0
35504,0
35505,3
35506,0
35507,0
35508,0
35509,1
35510,3
35511,0
35512,1
35513,0
35514,3
35515,3
35516,4
35517,0
35518,1
35519,3
35520,0
35521,1
35522,3
35523,2
35524,1
35525,1
35526,3
35527,1
35528,2
35529,0
35530,1
35531,0
35532,0
35533,2
35534,4
35535,2
35536,0
35537,1
35538,1
35539,3
35540,0
35541,1
35542,1
35543,1
35544,1
35545,0
35546,3
35547,3
35548,1
35549,0
35550,1
35551,0
35552,4
35553,0
35554,0
35555,0
35556,0
35557,3
35558,0
35559,0
35560,3
35561,0
35562,0
35563,3
35564,0
35565,0
35566,0
35567,0
35568,3
35569,4
35570,0
35571,2
35572,0
35573,2
35574,1
35575,3
35576,0
35577,1
35578,1
35579,1
35580,0
35581,3
35582,2
35583,0
35584,2
35585,0
35586,0
35587,1
35588,2
35589,0
35590,0
35591,2
35592,2
35593,0
35594,1
35595,0
35596,0
35597,0
35598,3
35599,0
35600,3
35601,2
35602,0
35603,1
35604,0
35605,0
35606,0
35607,1
35608,2
35609,0
35610,0
35611,1
35612,1
35613,1
35614,0
35615,2
35616,3
35617,0
35618,0
35619,3
35620,0
35621,3
35622,0
35623,0
35624,0
35625,1
35626,0
35627,1
35628,1
35629,1
35630,0
35631,3
35632,1
35633,0
35634,0
35635,0
35636,0
35637,2
35638,0
35639,2
35640,0
35641,1
35642,0
35643,0
35644,1
35645,2
35646,0
35647,2
35648,2
35649,3
35650,2
35651,2
35652,2
35653,3
35654,1
35655,0
35656,1
35657,1
35658,0
35659,0
35660,3
35661,0
35662,1
35663,1
35664,0
35665,2
35666,0
35667,3
35668,1
35669,2
35670,1
35671,0
35672,3
35673,1
35674,0
35675,3
35676,2
35677,0
35678,0
35679,3
35680,1
35681,0
35682,1
35683,3
35684,0
35685,1
35686,2
35687,2
35688,2
35689,0
35690,0
35691,3
35692,2
35693,3
35694,0
35695,0
35696,0
35697,0
35698,3
35699,0
35700,3
35701,1
35702,1
35703,3
35704,0
35705,3
35706,0
35707,2
35708,0
35709,1
35710,0
35711,0
35712,0
35713,0
35714,1
35715,3
35716,0
35717,3
35718,0
35719,0
35720,2
35721,1
35722,3
35723,1
35724,1
35725,1
35726,0
35727,3
35728,0
35729,0
35730,0
35731,3
35732,1
35733,0
35734,0
35735,1
35736,3
35737,3
35738,0
35739,1
35740,0
35741,3
35742,3
35743,3
35744,0
35745,3
35746,1
35747,3
35748,1
35749,3
35750,2
35751,1
35752,0
35753,1
35754,0
35755,1
35756,0
35757,3
35758,0
35759,4
35760,0
35761,0
35762,0
35763,2
35764,0
35765,3
35766,1
35767,0
35768,3
35769,0
35770,0
35771,0
35772,1
35773,0
35774,0
35775,3
35776,1
35777,0
35778,0
35779,0
35780,1
35781,0
35782,4
35783,1
35784,0
35785,0
35786,1
35787,1
35788,0
35789,0
35790,1
35791,0
35792,0
35793,3
35794,0
35795,0
35796,3
35797,0
35798,3
35799,0
35800,1
35801,2
35802,0
35803,3
35804,1
35805,0
35806,0
35807,0
35808,0
35809,0
35810,0
35811,0
35812,0
35813,0
35814,1
35815,3
35816,1
35817,1
35818,1
35819,0
35820,0
35821,3
35822,0
35823,0
35824,2
35825,1
35826,0
35827,2
35828,3
35829,2
35830,3
35831,0
35832,0
35833,0
35834,0
35835,0
35836,1
35837,1
35838,0
35839,0
35840,0
35841,0
35842,1
35843,0
35844,2
35845,0
35846,1
35847,3
35848,3
35849,3
35850,0
35851,2
35852,0
35853,0
35854,0
35855,0
35856,3
35857,3
35858,1
35859,1
35860,0
35861,1
35862,1
35863,3
35864,0
35865,1
35866,2
35867,1
35868,2
35869,1
35870,0
35871,0
35872,3
35873,1
35874,3
35875,0
35876,0
35877,2
35878,3
35879,3
35880,1
35881,3
35882,2
35883,3
35884,3
35885,0
35886,1
35887,1
35888,3
35889,3
35890,1
35891,3
35892,2
35893,3
35894,3
35895,2
35896,0
35897,0
35898,1
35899,2
35900,0
35901,1
35902,0
35903,1
35904,0
35905,0
35906,0
35907,0
35908,3
35909,0
35910,1
35911,1
35912,3
35913,3
35914,2
35915,1
35916,0
35917,0
35918,2
35919,0
35920,1
35921,0
35922,3
35923,0
35924,0
35925,4
35926,3
35927,3
35928,0
35929,3
35930,3
35931,1
35932,1
35933,3
35934,2
35935,0
35936,2
35937,2
35938,4
35939,0
35940,0
35941,0
35942,3
35943,1
35944,4
35945,3
35946,3
35947,1
35948,1
35949,4
35950,0
35951,1
35952,0
35953,0
35954,0
35955,1
35956,3
35957,4
35958,2
35959,0
35960,0
35961,0
35962,1
35963,0
35964,3
35965,0
35966,1
35967,0
35968,0
35969,3
35970,3
35971,1
35972,0
35973,0
35974,0
35975,0
35976,0
35977,0
35978,4
35979,1
35980,1
35981,2
35982,4
35983,3
35984,0
35985,3
35986,3
35987,0
35988,1
35989,3
35990,0
35991,3
35992,3
35993,3
35994,2
35995,2
35996,0
35997,4
35998,3
35999,0
36000,0
36001,3
36002,0
36003,1
36004,2
36005,1
36006,0
36007,3
36008,3
36009,0
36010,0
36011,3
36012,3
36013,3
36014,0
36015,2
36016,0
36017,0
36018,1
36019,0
36020,2
36021,2
36022,3
36023,0
36024,1
36025,1
36026,2
36027,4
36028,1
36029,0
36030,1
36031,0
36032,0
36033,1
36034,0
36035,0
36036,1
36037,0
36038,1
36039,0
36040,1
36041,0
36042,0
36043,0
36044,3
36045,2
36046,1
36047,5
36048,0
36049,0
36050,0
36051,3
36052,0
36053,1
36054,1
36055,2
36056,3
36057,3
36058,1
36059,0
36060,1
36061,3
36062,0
36063,3
36064,1
36065,1
36066,3
36067,0
36068,0
36069,2
36070,2
36071,3
36072,1
36073,0
36074,0
36075,3
36076,0
36077,4
36078,2
36079,0
36080,0
36081,1
36082,0
36083,1
36084,0
36085,0
36086,3
36087,3
36088,0
36089,0
36090,0
36091,1
36092,3
36093,0
36094,2
36095,3
36096,3
36097,2
36098,2
36099,0
36100,0
36101,0
36102,3
36103,0
36104,3
36105,1
36106,0
36107,1
36108,0
36109,4
36110,0
36111,3
36112,0
36113,1
36114,0
36115,4
36116,1
36117,1
36118,2
36119,0
36120,2
36121,0
36122,0
36123,4
36124,3
36125,1
36126,0
36127,0
36128,1
36129,3
36130,0
36131,2
36132,4
36133,4
36134,1
36135,0
36136,3
36137,3
36138,0
36139,3
36140,1
36141,1
36142,3
36143,0
36144,0
36145,0
36146,3
36147,0
36148,4
36149,1
36150,1
36151,0
36152,0
